market,iteration,expand_width,search_depth,best_score,time
BTC_DQN,100,3,18,0.3484569711992029,8.741486072540283
BTC_DQN,250,8,10,0.3484569711992023,19.938036918640137
BTC_DQN,150,5,18,0.3484569711992023,11.13440489768982
BTC_DQN,150,5,10,0.3484569711992024,11.32241415977478
BTC_DQN,50,5,22,0.3484569711992025,4.314060926437378
BTC_DQN,250,8,20,0.3484569711992026,18.861198663711548
BTC_DQN,100,8,20,0.3484569711992024,6.62353515625
BTC_DQN,200,3,20,0.3484569711992023,16.52696704864502
BTC_DQN,200,12,10,0.3484569711992024,11.579471111297607
BTC_DQN,100,12,10,0.3484569711992023,5.616448163986206
BTC_DQN,250,12,18,0.3484569711992020,16.392720937728882
BTC_DQN,250,5,18,0.3484569711992022,18.94101309776306
BTC_DQN,250,8,15,0.3484569711992021,16.876356840133667
BTC_DQN,50,5,20,0.3484569711992025,3.656332015991211
BTC_DQN,100,3,18,0.3484569711992025,7.489842891693115
BTC_DQN,250,8,15,0.3484569711992025,17.025072813034058
BTC_DQN,100,12,20,0.3484569711992033,6.447921991348267
BTC_DQN,100,8,18,0.3484569711992026,7.028345823287964
BTC_DQN,150,8,15,0.3484569711992027,9.94041132926941
BTC_DQN,250,3,20,0.3484569711992028,21.5813729763031
BTC_MULTI_AGENT,150,10,22,0.4245993643470463,11.179260969161987
BTC_MULTI_AGENT,200,8,15,0.4245993643470463,14.268211126327515
BTC_MULTI_AGENT,100,8,22,0.4245993643470463,7.486794948577881
BTC_MULTI_AGENT,200,5,20,0.4245993643470463,15.712754964828491
BTC_MULTI_AGENT,50,12,22,0.4245993643470463,3.7860701084136963
BTC_MULTI_AGENT,50,8,10,0.4245993643470463,3.291910171508789
BTC_MULTI_AGENT,200,8,15,0.4245993643470463,15.142087936401367
BTC_MULTI_AGENT,200,12,18,0.4245993643470463,14.651567697525024
BTC_MULTI_AGENT,100,10,20,0.4245993643470463,7.435765981674194
BTC_MULTI_AGENT,150,5,15,0.4245993643470463,11.9786958694458
BTC_MULTI_AGENT,100,9,22,0.4245993643470473,9.122874736785889
BTC_MULTI_AGENT,200,5,18,0.4245993643470463,17.086015939712524
BTC_MULTI_AGENT,50,5,15,0.4245993643470463,3.977299213409424
BTC_MULTI_AGENT,200,5,18,0.4245993643470463,17.757176876068115
BTC_MULTI_AGENT,200,5,22,0.4245993643470463,17.728906393051147
BTC_MULTI_AGENT,200,12,10,0.4245993643470423,14.52423906326294
BTC_MULTI_AGENT,50,8,20,0.4245993643470463,4.113566160202026
