date,open,high,low,close,volume,ao,cmo,fisht,macd,mom,ppo,roc,rsi,stc,stoch,trix,tsi,williams_r,ema,wma,er,psar,tr,donchian,tp,Position,Action,Holdings,Cash,Balance,Returns
2019-09-13 18:52:00,10212.64,10217.7,10211.27,10225.876796,14.956,3.85720588,-0.2391076067613953,0.20362652,1.79084896,9.13,0.01753318,0.10633085,50.90954265,89.04,49.30434783,0.002371145104309,6.71488748,-50.69565217,10211.70069906348,10217.47911111,0.20302424,10225.876796,14.9202,10218.515,10218.28226533,-1,-1,-92032.891164,191575.758088,99542.866924,-0.004571330759999982
2019-09-13 19:08:00,10211.07,10211.07,10206.86,10223.0002144,12.363,0.28155882,-9.79010037204553,-0.63976053,1.62975299,2.14,0.0159608,0.0508638,47.76835687,85.87,31.85153215,0.0031605174547669,7.60343377,-68.14846785,10208.86864943948,10213.53733333,0.05685441,10223.0002144,16.81064,10215.78,10213.6434048,1,1,92007.0019296,7561.754228800011,99568.7561584,0.00026008126147071146
2019-09-14 01:11:00,10297.07,10298.44,10295.11,10301.932827990027,11.269,-11.23938235,-19.761647469469143,-1.61918541,-3.67966505,-10.89,-0.03571759,-0.149459,40.93451805,0.0,17.80487805,-0.0005586477192198,-18.37662413,-82.19512195,10302.76509269346,10295.20755556,0.3096389,10301.93282799,8.76538138,10304.35,10298.494276,1,0,92717.39545191024,7561.754228800011,100279.14968071025,0.007134703191231075
2019-09-14 14:06:00,10333.22,10335.18,10331.05,10355.00399296,19.78,-3.69020588,-9.344120297807642,-1.04538657,-0.11492935,-1.82,-0.00111165,0.03232725,46.61938843,90.21,24.92542261,-0.0001068799804587,-0.38718501,-75.07457739,10338.856761194536,10338.82111111,0.04,10355.00399296,25.403184,10344.44,10340.41133099,1,0,93195.03593664001,7561.754228800011,100756.79016544002,0.004763108644724043
2019-09-14 20:08:00,10379.91,10384.71,10376.76,10387.654583690384,19.207,2.10920588,5.067801176253678,-0.33330903,0.64478477,2.47,0.00621033,0.05530835,52.00543092,92.84,63.4751773,-0.0005931237362045,3.46454939,-36.5248227,10382.511319175654,10383.65377778,0.08381405,10387.65458369,11.14426907,10382.4,10383.0415279,1,0,93488.89125321346,7561.754228800011,101050.64548201347,0.0029164815204111368
2019-09-14 21:12:00,10413.21,10413.89,10411.14,10398.113231546837,13.491,37.90394118,40.56684511365668,1.16349042,15.2494709,11.35,0.14681869,0.65710797,68.35873119,100.0,91.04624467,0.0078464271734442,34.93806713,-8.95375533,10375.715838871733,10412.71733333,0.33890714,10398.11323155,19.33484704,10413.815,10407.71441052,-1,-1,-93583.01908392154,194727.79239664308,101144.77331272155,0.0009314916323303801
2019-09-15 01:34:00,10322.54,10322.79,10321.38,10241.614220733994,13.049,-0.1115,-16.05597151276403,0.52869682,-1.21422425,0.01,-0.01175981,-0.02954158,43.8485723,0.0,97.71663921,0.0007711413069701,-7.30870083,-2.28336079,10324.261957093133,10323.06977778,0.00042753,10241.61422073,95.28904566,10328.32,10295.26140691,-1,0,-92174.52798660594,194727.79239664308,102553.26441003714,0.013925495615683377
2019-09-15 02:55:00,10322.14,10323.45,10320.87,10316.91648365086,12.194,8.45247059,24.67475349051057,2.49500129,3.67798607,9.64,0.03565124,0.11075873,61.60170915,100.0,87.11467324,0.0045107779129827,22.70332319,-12.88532676,10312.02276558452,10322.15555556,0.65667575,10316.91648365,7.72083296,10322.225,10320.41216122,1,1,92852.24835285774,9023.295690927596,101875.54404378534,-0.006608471901411949
2019-09-15 03:52:00,10303.61,10305.16,10300.39,10307.366337279209,11.324,1.39455882,-5.221729277825822,0.39668362,1.13287706,2.59,0.0109973,-0.07469354,49.57723375,92.31,27.68411713,0.0017822301151708,6.23048293,-72.31588287,10300.661267431598,10302.948,0.20030936,10307.36633728,7.16809926,10304.64,10304.30544576,1,0,92766.29703551288,9023.295690927596,101789.59272644047,-0.0008436894070271047
2019-09-15 04:59:00,10309.45,10314.28,10309.45,10303.29,12.984,2.111,23.85541047794574,0.54717679,0.00124615,2.61,1.209e-05,0.01008596,57.76334665,74.56,79.28633594,-0.0013771004051499,-0.14227644,-20.71366406,10309.422255474728,10308.37688889,0.15307918,10303.29,4.83,10312.48,10309.00666667,-1,-1,-92729.61000000002,194482.51569092763,101752.90569092761,-0.0003604202996612776
